g1266,kcnn3
g1267,kcnn4
g1268,kcnq1
g1269,kcnq2
g1270,kcnq3
g1271,kcnq4
g1272,kcnq5
g1273,kdm5d
g1274,kdr
g1275,keap1
g1276,kif11
g1277,kif1a
g1278,kif2c
g1279,kit
g1280,klk1
g1281,klk3
g1282,klk6
g1283,klkb1
g1284,kmt2a
g1285,kras
g1286,krt12
g1287,krt18
g1288,krt19
g1289,krt20
g1290,krt7
g1291,krt8
g1292,krtap5-2
g1293,krtap5-3
g1294,kyat1
g1295,kyat3
g1296,kynu
g1297,l3hypdh
g1298,lalba
g1299,lama5
g1300,lamp1
g1301,lap3
g1302,lars
g1303,lars2
g1304,layn
g1305,lcat
g1306,lck
g1307,lcmt1
g1308,lcmt2
g1309,lcn2
g1310,lcn9
g1311,lct
g1312,lctl
g1313,ldha
g1314,ldhal6a
g1315,ldhal6b
g1316,ldhb
g1317,ldhc
g1318,ldlr
g1319,lep
g1320,lepr
g1321,lgals1
g1322,lgals2
g1323,lgals7
g1324,lgsn
g1325,lhcgr
g1326,lias
g1327,lif
g1328,lipa
g1329,lipc
g1330,lipe
g1331,lipf
g1332,lipt1
g1333,lmo2
g1334,loh19cr1
g1335,lpa
g1336,lpar2
g1337,lpl
g1338,lpo
g1339,lrat
g1340,lrp1
g1341,lrp1b
g1342,lrp2
g1343,lsm6
g1344,lss
g1345,lta
g1346,lta4h
g1347,ltc4s
g1348,ltf
g1349,lum
g1350,ly96
g1351,lyn
g1352,lyz
g1353,m6pr
g1354,magea1
g1355,man1b1
g1356,man2a1
g1357,maoa
g1358,maob
g1359,map1a
g1360,map2
g1361,map2k1
g1362,map2k2
g1363,map2k3
g1364,map3k2
g1365,map4
g1366,mapk1
g1367,mapk10
g1368,mapk14
g1369,mapk3
g1370,mapk8
g1371,mapk8ip1
g1372,mapk9
g1373,mapkapk2
g1374,mapkapk3
g1375,mapt
g1376,marcksl1
g1377,mark2
g1378,mat1a
g1379,mat2a
g1380,matk
g1381,mb
g1382,mbl2
g1383,mbp
g1384,mc1r
g1385,mc2r
g1386,mccc1
g1387,mccc2
g1388,mcl1
g1389,mdh1
g1390,mdh2
g1391,mdk
g1392,mdm2
g1393,me1
g1394,me2
g1395,me3
g1396,med1
g1397,mertk
g1398,met
g1399,metap1
g1400,metap2
g1401,mgam
g1402,mgat1
g1403,mgea5
g1404,mgmt
g1405,mgst1
g1406,mgst2
g1407,mgst3
g1408,mia
g1409,mif
g1410,mitf
g1411,mkl1
g1412,mlana
g1413,mlh1
g1414,mmaa
g1415,mmab
g1416,mmachc
g1417,mme
g1418,mmp1
g1419,mmp10
g1420,mmp11
g1421,mmp12
g1422,mmp13
g1423,mmp14
g1424,mmp15
g1425,mmp16
g1426,mmp17
g1427,mmp19
g1428,mmp2
g1429,mmp20
g1430,mmp21
g1431,mmp23a
g1432,mmp24
g1433,mmp25
g1434,mmp26
g1435,mmp27
g1436,mmp28
g1437,mmp3
g1438,mmp7
g1439,mmp8
g1440,mmp9
g1441,mocos
g1442,mpl
g1443,mpo
g1444,mpst
g1445,ms4a1
g1446,ms4a2
g1447,msh2
g1448,msh3
g1449,msh6
g1450,msmo1
g1451,msr1
g1452,mst1
g1464,mt1e
g1465,mt1f
g1466,mt1g
g1467,mt1h
g1468,mt1ip
g1469,mt1jp
g1470,mt2a
g1471,mtap
g1453,mt-co1
g1454,mt-co2
g1455,mt-co3
g1456,mt-cyb
g1472,mtfmt
g1473,mthfd1
g1474,mthfd2
g1475,mthfr
g1457,mt-nd1
g1458,mt-nd2
g1459,mt-nd3
g1460,mt-nd4
g1461,mt-nd4l
g1462,mt-nd5
g1463,mt-nd6
g1476,mtnr1a
g1477,mtnr1b
g1478,mtor
g1479,mtr
g1480,mtrr
g1481,mttp
g1482,muc1
g1483,muc16
g1484,muc2
g1485,mut
g1486,myb
g1487,myc
g1488,mycn
g1489,myd88
g1490,myh14
g1491,mylk2
g1492,myo9b
g1493,myod1
g1494,nadsyn1
g1495,nae1
g1496,naga
g1497,nagk
g1498,naglu
g1499,nagpa
g1500,nags
g1501,napepld
g1502,naprt
g1503,nars
g1504,nars2
g1505,nat1
g1506,nat2
g1507,ncan
g1508,ncf1
g1509,ncf2
g1510,ncoa1
g1511,ncoa2
g1512,ncoa3
g1513,ncoa5
g1514,ndufa1
g1515,ndufa10
g1516,ndufa11
g1517,ndufa12
g1518,ndufa13
g1519,ndufa2
g1520,ndufa3
g1521,ndufa4
g1522,ndufa4l2
g1523,ndufa5
g1524,ndufa6
g1525,ndufa7
g1526,ndufa8
g1527,ndufa9
g1528,ndufab1
g1529,ndufb1
g1530,ndufb10
g1531,ndufb2
g1532,ndufb3
g1533,ndufb4
g1534,ndufb5
g1535,ndufb6
g1536,ndufb7
g1537,ndufb8
g1538,ndufb9
g1539,ndufc1
g1540,ndufc2
g1541,ndufs1
g1542,ndufs2
g1543,ndufs3
g1544,ndufs4
g1545,ndufs5
g1546,ndufs6
g1547,ndufs7
g1548,ndufs8
g1549,ndufv1
g1550,ndufv2
g1551,ndufv3
g1552,neu2
g1553,neurod1
g1554,nf1
g1555,nf2
g1556,nfe2
g1557,nfe2l1
g1558,nfe2l2
g1559,nfkb1
g1560,nfkb2
g1561,nfkbia
g1562,nfs1
g1563,ngb
g1564,ngf
g1565,nid1
g1566,nisch
g1567,nlrp3
g1568,nme1
g1569,nme2
g1570,nmnat1
g1571,nmnat3
g1572,nmral1
g1573,nmt1
g1574,nmt2
g1575,nnmt
g1576,nnt
g1577,nos1
g1578,nos2
g1579,nos3
g1580,notch1
g1581,nov
g1582,noxo1
g1583,npc1l1
g1584,npm1
g1585,nppb
g1586,nppc
g1587,npr1
g1588,npr2
g1589,npsr1
g1590,npy
g1591,npy2r
g1592,nqo1
g1593,nqo2
g1594,nr0b1
g1595,nr1h2
g1596,nr1h3
g1597,nr1h4
g1598,nr1i2
g1599,nr1i3
g1600,nr2c1
g1601,nr3c1
g1602,nr3c2
g1603,nr4a1
g1604,nr5a1
g1605,nras
g1606,nrg1
g1607,nrip1
g1608,nrp1
g1609,nsdhl
g1610,nsf
g1611,nt5c2
g1612,nt5e
g1613,nt5m
g1614,ntf3
g1615,ntrk1
g1616,ntrk2
g1617,ntrk3
g1618,nts
g1619,ntsr2
g1620,nudt9
g1621,oat
g1622,oaz1
g1623,oaz2
g1624,oaz3
g1625,ocln
g1626,odc1
g1627,ogdh
g1628,ogfod1
g1629,ogfod2
g1630,ogg1
g1631,oplah
g1632,oprd1
g1633,oprk1
g1634,oprl1
g1635,oprm1
g1636,orm1
g1637,osm
g1638,otc
g1639,oxct1
g1640,oxct2
g1641,oxt
g1642,oxtr
g1643,p2rx1
g1644,p2rx4
g1645,p2ry12
g1646,p2ry2
g1647,p3h1
g1648,p3h2
g1649,p3h3
g1650,p4ha1
g1651,p4ha2
g1652,p4hb
g1653,p4htm
g1654,padi1
g1655,padi2
g1656,padi3
g1657,padi4
g1658,padi6
g1659,paep
g1660,pah
g1661,paics
g1662,palb2
g1663,pam
g1664,panx1
g1665,papola
g1666,papss1
g1667,parp1
g1668,parp15
g1669,parp2
g1670,parp3
g1671,pars2
g1672,pax2
g1673,pbk
g1674,pc
g1675,pcap
g1676,pcbd1
g1677,pcca
g1678,pccb
g1679,pck1
g1680,pcmt1
g1681,pcna
g1682,pcsk1
g1683,pcsk2
g1684,pcsk9
g1685,pctp
g1686,pcyt1a
g1687,pcyt1b
g1688,pdcd1
g1689,pdcd4
g1690,pde10a
g1691,pde11a
g1692,pde1a
g1693,pde1b
g1694,pde2a
g1695,pde3a
g1696,pde3b
g1697,pde4a
g1698,pde4b
g1699,pde4c
g1700,pde4d
g1701,pde5a
g1702,pde6g
g1703,pde6h
g1704,pde7a
g1705,pde7b
g1706,pde8a
